Id,ActivityHour,for lookup,Calories,Total Intensity,Total Steps
1503960366,4/12/2016 0:00,150396036642472,81,20,373
1503960366,4/12/2016 1:00,150396036642472.0416666667,61,8,160
1503960366,4/12/2016 2:00,150396036642472.0833333333,59,7,151
1503960366,4/12/2016 3:00,150396036642472.125,47,0,0
1503960366,4/12/2016 4:00,150396036642472.1666666667,48,0,0
1503960366,4/12/2016 5:00,150396036642472.2083333333,48,0,0
1503960366,4/12/2016 6:00,150396036642472.25,48,0,0
1503960366,4/12/2016 7:00,150396036642472.2916666667,47,0,0
1503960366,4/12/2016 8:00,150396036642472.3333333333,68,13,250
1503960366,4/12/2016 9:00,150396036642472.375,141,30,1864
1503960366,4/12/2016 10:00,150396036642472.4166666667,99,29,676
1503960366,4/12/2016 11:00,150396036642472.4583333333,76,12,360
1503960366,4/12/2016 12:00,150396036642472.5,73,11,253
1503960366,4/12/2016 13:00,150396036642472.5416666667,66,6,221
1503960366,4/12/2016 14:00,150396036642472.5833333333,110,36,1166
1503960366,4/12/2016 15:00,150396036642472.625,151,58,2063
1503960366,4/12/2016 16:00,150396036642472.6666666667,76,13,344
1503960366,4/12/2016 17:00,150396036642472.7083333333,83,16,489
1503960366,4/12/2016 18:00,150396036642472.75,124,29,1386
1503960366,4/12/2016 19:00,150396036642472.7916666667,104,39,558
1503960366,4/12/2016 20:00,150396036642472.8333333333,132,41,1733
1503960366,4/12/2016 21:00,150396036642472.875,100,31,684
1503960366,4/12/2016 22:00,150396036642472.9166666667,65,9,89
1503960366,4/12/2016 23:00,150396036642472.9583333333,81,21,338
1503960366,4/13/2016 0:00,150396036642473,69,14,144
1503960366,4/13/2016 1:00,150396036642473.0416666667,48,0,0
1503960366,4/13/2016 2:00,150396036642473.0833333333,47,0,0
1503960366,4/13/2016 3:00,150396036642473.125,53,4,36
1503960366,4/13/2016 4:00,150396036642473.1666666667,47,0,0
1503960366,4/13/2016 5:00,150396036642473.2083333333,47,0,0
1503960366,4/13/2016 6:00,150396036642473.25,48,0,0
1503960366,4/13/2016 7:00,150396036642473.2916666667,59,8,126
1503960366,4/13/2016 8:00,150396036642473.3333333333,69,12,275
1503960366,4/13/2016 9:00,150396036642473.375,136,27,1679
1503960366,4/13/2016 10:00,150396036642473.4166666667,77,15,295
